Database Source	Sequence ID	Plasmid name	Strain of origin	Sequence length
NCBI	NZ_CP012293.1	Unknown	Pediococcus damnosus strain TMW 2.1535	1858
NCBI	NC_019004.1	297_cp32-11	Borrelia burgdorferi 297	30720
NCBI	NC_024957.1	pT29A	Methylibium sp. T29	88098
NCBI	NZ_CP015214.1	c	Rhodobacter sphaeroides strain MBTLJ-13	106798
NCBI	NC_013327.1	pWBG749	Staphylococcus aureus	38633
NCBI	NC_011371.1	pRLG204	Rhizobium leguminosarum bv. trifolii WSM2304	261643
NCBI	NC_019381.1	pOV	Pasteurella multocida	13746
NCBI	NZ_CP013108.1	A	Sinorhizobium americanum strain CFNEI 73	225940
NCBI	NC_020305.1	Unknown	Desulfocapsa sulfexigens DSM 10523	37278
NCBI	NC_008341.1	Unknown	Nitrosomonas eutropha C91	66064
NCBI	NZ_CP016871.1	Unknown	Legionella pneumophila subsp. pneumophila strain FFI103	69120
NCBI	NZ_CP016039.1	pC06114_5	Escherichia coli isolate Co6114	5859
NCBI	NZ_CP012965.1	Unknown	Rhodobacter sphaeroides strain MBTLJ-8	108702
NCBI	NZ_CP014918.1	pL11994-3	Lactobacillus paracollinoides strain TMW 1.1994	33678
NCBI	NZ_CP020435.1	3	Bacillus sp. FDAARGOS_235	15398
NCBI	NC_018994.1	pNDM-1_Dok01	Escherichia coli	198355
NCBI	NC_010856.1	pPASb11	Candidatus Phytoplasma australiense	3688
NCBI	NC_012264.1	118a_cp32-13	Borrelia burgdorferi 118a	30549
NCBI	NZ_CP016336.1	Unknown	Corynebacterium glutamicum strain ATCC 13869	4512
NCBI	NC_023918.1	pCP-TS1	Clostridium perfringens	55258
NCBI	NC_011841.1	156a_cp32-12	Borrelia burgdorferi 156a	31091
NCBI	NC_017348.1	pLGA251	Staphylococcus aureus subsp. aureus LGA251	3037
NCBI	NZ_CP002704.1	pLeu	Buchnera aphidicola str. F009 (Myzus persicae)	7913
NCBI	NZ_CP015621.1	p6AsACE	Acinetobacter schindleri strain ACE	8058
NCBI	NZ_CM004453.1	p1M3AC14-8	Acinetobacter baumannii strain M3AC14-8	5520
NCBI	NC_013784.1	pZZM401	Zymomonas mobilis subsp. mobilis ZM4	37597
NCBI	NZ_CP022183.1	pS68-2	Aeromonas salmonicida strain S68	63379
NCBI	NZ_CP022051.1	unnamed1	Escherichia coli O157 strain FDAARGOS_293	43219
NCBI	NZ_CP021486.1	pPl424-2	Pediococcus acidilactici strain SRCM100424	3487
NCBI	NZ_CP007489.1	pSTM	Salmonella enterica subsp. enterica strain SA972816	95309
NCBI	NC_017327.1	pSmeSM11c	Sinorhizobium meliloti SM11	1656654
NCBI	NZ_CP013825.1	p4PS14	Piscirickettsia salmonis strain PM25344B	34023
NCBI	NZ_CM007811.1	unnamed	Clostridium sporogenes isolate 2007	58150
NCBI	NZ_CP018336.1	unnamed	Clostridium kluyveri strain JZZ	59419
NCBI	NC_010029.2	pLGV440	Chlamydia trachomatis	7609
NCBI	NC_019737.1	pCRI9333.07	Crinalium epipsammum PCC 9333	28863
NCBI	NZ_CP023066.1	pSS05631d	Sinorhizobium sp. CCBAU 05631	126630
NCBI	NZ_CP021710.1	tig00000853	Klebsiella pneumoniae strain AR_0143	217174
NCBI	NZ_CP012161.1	OSB_p1	Octadecabacter temperatus strain SB1	32012
NCBI	NC_008121.1	pPCP	Yersinia pestis Antiqua	10932
NCBI	NZ_CP007125.1	Unknown	Lactobacillus paracasei N1115	59348
NCBI	NC_019734.1	pCRI9333.02	Crinalium epipsammum PCC 9333	53975
NCBI	NC_017397.1	JD1	Borrelia burgdorferi JD1	31137
NCBI	NZ_CP011023.1	pSHB9	Bacillus pumilus strain SH-B9	92534
NCBI	NZ_CP022153.1	p705SK3_2	Citrobacter freundii strain 705SK3	64366
NCBI	NC_010929.1	pTiBo542	Agrobacterium tumefaciens Ti	248479
NCBI	NZ_CP004878.1	pBMB2062	Bacillus thuringiensis serovar kurstaki str. HD-1	2093
NCBI	NZ_CP011518.2	pPO70-1	Pandoraea oxalativorans strain DSM 23570	642406
NCBI	NZ_CM007621.1	pLM199.2	Xanthomonas citri subsp. citri strain LM199	65864
NCBI	NZ_CP007453.1	EAL2_808p	Peptoclostridium acidaminophilum DSM 3953	820329
NCBI	NZ_CP017672.1	unnamed	Providencia rettgeri strain RB151	109967
NCBI	NZ_CP008987.1	pXAC33	Xanthomonas citri subsp. citri strain UI7	34186
NCBI	NZ_CP010971.1	pRra2	Rickettsia raoultii strain Khabarovsk	84409
NCBI	NC_017485.1	pCV56D	Lactococcus lactis subsp. lactis CV56	5624
NCBI	NZ_CP021533.1	tig00000220	Escherichia coli strain AR_0149	49223
NCBI	NZ_CP011629.1	pCAV1374-34	Klebsiella oxytoca strain CAV1374	34092
NCBI	NC_004341.2	pKLCB	Weissella cibaria	3402
NCBI	NC_018881.1	BTB_8p	Bacillus thuringiensis Bt407	8359
NCBI	NC_015661.1	pGEOTH02	Parageobacillus thermoglucosidasius C56-YS93	19920
NCBI	NZ_CP022241.1	unnamed5	Exiguobacterium oxidotolerans strain N4-1P	4977
NCBI	NC_012171.1	WI91-23_lp28-3	Borrelia burgdorferi WI91-23	27938
NCBI	NZ_CP012558.1	3	Raoultella ornithinolytica strain 18	4018
NCBI	NZ_CP012574.1	pCM1	Clavibacter michiganensis strain PF008	40439
NCBI	NZ_CP017563.1	pl1WSM5005	Paraburkholderia sprentiae WSM5005	1010549
NCBI	NZ_CP002700.1	pLeu	Buchnera aphidicola str. W106 (Myzus persicae)	7915
NCBI	NZ_CP022670.1	pPR5	Rhizobium leguminosarum bv. viciae strain BIHB 1217	182352
NCBI	NC_011185.1	pMJ100	Vibrio fischeri MJ11	182024
NCBI	NC_019356.1	pMOS6	Paracoccus marcusii	7783
NCBI	NC_004839.1	pCD1	Yersinia pestis strain KIM5	71568
NCBI	NZ_CP013761.1	p4PS1	Piscirickettsia salmonis strain AY6492A	160417
NCBI	NC_014503.1	Cy782204	Cyanothece sp. PCC 7822	48231
NCBI	NC_017406.1	JD1	Borrelia burgdorferi JD1	24967
NCBI	NZ_CP014406.1	pUSA06-1-SUR11	Staphylococcus aureus strain USA300-SUR11	4461
NCBI	NC_017261.1	pLeu	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	7800
NCBI	NZ_CP021026.1	pRetTAL182b	Rhizobium sp. TAL182	284624
NCBI	NZ_CP009683.1	pFNE_1	Francisella tularensis subsp. novicida strain AZ06-7470	34965
NCBI	NZ_CP011496.1	F	Escherichia coli strain NCM3722	68511
NCBI	NZ_CP010794.1	pXO2	Bacillus anthracis strain Ames A0462	96194
NCBI	NZ_CP007728.1	pAAC154-a50	Klebsiella pneumoniae subsp. pneumoniae KPNIH10	15313
NCBI	NC_001735.4	R751	Enterobacter aerogenes	54188
NCBI	NZ_CP018006.1	pQpH1	Coxiella burnetii strain RSA439	37854
NCBI	NZ_CP022068.1	unnamed3	Salmonella enterica strain FDAARGOS_313	20134
NCBI	NZ_CP011356.1	pYC11	Bacillus thuringiensis strain YC-10	7232
NCBI	NC_021918.1	p7ME01	Cycloclasticus zancles 78-ME	42953
NCBI	NZ_CP018714.1	pKp_Goe_021-1	Klebsiella pneumoniae strain Kp_Goe_152021	250283
NCBI	NC_021988.1	p3	Enterococcus faecium Aus0085	31448
NCBI	NZ_CP015221.1	unnamed1	Rhodococcus sp. PBTS2	139562
NCBI	NC_013419.1	pBPLAN	Blattabacterium sp. (Periplaneta americana) str. BPLAN	3499
NCBI	NZ_CP016361.1	pBCM1301	Bacillus cereus strain M13	88334
NCBI	NC_021665.1	pEBM130	Clostridium thermocellum strain BL21	10101
NCBI	NZ_CP021368.1	pACP4.2	Acidovorax sp. P4	166231
NCBI	NZ_CP016025.1	pRI-2	Ralstonia insidiosa strain ATCC 49129	51497
NCBI	NZ_CP013728.1	Unnamed	Bacillus amyloliquefaciens strain MBE1283	13190
NCBI	NC_023286.1	pFRL6	Streptomyces sp. F12	395244
NCBI	NC_020545.1	pSDA1	Streptomyces davawensis	90609
NCBI	NZ_CP014058.1	Unknown	Staphylococcus saprophyticus strain FDAARGOS_137	28319
NCBI	NC_004977.1	pONE430	Selenomonas ruminantium	1550
NCBI	NC_020288.1	pSYSG_M	Synechocystis sp. PCC 6803	44978
EBI	FP340279.1	Unknown	Xanthomonas albilineans str. GPE PC73,	25251
NCBI	NC_017555.1	Unknown	Xanthomonas albilineans str. GPE PC73,	27602
NCBI	NZ_CM004288.1	pAsa2	Aeromonas salmonicida subsp. salmonicida strain JF3791	5626
NCBI	NZ_FO818639.1	XBC_p	Xenorhabdus bovienii str. CS03	8234
NCBI	NZ_CP016947.1	unnamed2	Yersinia enterocolitica strain YE1	102235
NCBI	NC_005241.1	pHG1	Ralstonia eutropha H16	458617
NCBI	NC_019957.1	pMYCSM01	Mycobacterium sp. JS623	399779
NCBI	NC_016594.1	AZOBR_p1	Azospirillum brasilense Sp245	1791258
NCBI	NZ_CP010419.1	pAcX50d	Azotobacter chroococcum NCIMB 8003	70309
NCBI	NC_022114.1	1	Lactobacillus paracasei subsp. paracasei 8700:2	24554
NCBI	NC_005016.1	pVT2	Mycobacterium avium	13053
NCBI	NZ_CP014797.1	pTPRO1	Thiobacimonas profunda strain JLT2016	229024
NCBI	NZ_CP011933.1	pLIMLP1	Leptospira interrogans serovar Manilae strain UP-MMC-NIID LP	71057
NCBI	NZ_CP014526.1	unnamed	Haematospirillum jordaniae strain H5569	33439
NCBI	NC_014227.1	pPAGA3	Pantoea agglomerans cryptic	2775
NCBI	NZ_CP021156.1	pPDD-Na-1-4	Photobacterium damselae subsp. damselae strain KC-Na-1	46079
NCBI	NZ_CP021760.1	tig00000003	Klebsiella pneumoniae strain AR_0138	55183
NCBI	NC_019331.1	pJ340-114	Arthrobacter sp. J3-40	99484
NCBI	NZ_CP019877.1	pKNA02	Komagataeibacter nataicola strain RZS01	39236
NCBI	NZ_CP021190.1	pDC09	Sphingomonas sp. DC-6	9723
NCBI	NC_016636.1	pPECL-3	Pediococcus claussenii ATCC BAA-344	18086
NCBI	NC_019302.1	pUCLAc	Xylella fastidiosa	1304
NCBI	NC_015854.1	pLAtc3	Acidithiobacillus caldus SM-1	30130
NCBI	NZ_CP014894.1	pL11992-4	Lactobacillus backii strain TMW 1.1992	33634
NCBI	NZ_CP021841.1	pEC974-1	Escherichia coli strain EC974	120635
NCBI	NC_019364.1	pSD118	Sulfitobacter guttiformis	120170
NCBI	NC_012752.1	pHD5AT	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)	59877
NCBI	NC_021978.1	Apa386Bp6	Acetobacter pasteurianus 386B	6643
NCBI	NC_019344.1	R830b	Serratia marcescens	82963
NCBI	NC_003065.3	Ti	Agrobacterium fabrum str. C58	217295
NCBI	NC_016774.1	pNC4	Bacillus cereus NC7401	3137
NCBI	NC_008049.1	pCC2228-1	Campylobacter coli RM2228	1327
NCBI	NC_015710.1	pSn	Simkania negevensis Z	133926
NCBI	NC_018651.1	p09EL50	Escherichia coli O104:H4 str. 2009EL-2050	110837
NCBI	NC_019155.1	pKpQIL-IT	Klebsiella pneumoniae	116949
NCBI	NC_024993.1	pGE1	Gluconacetobacter europaeus	2562
NCBI	NC_007714.1	pSG2	Sodalis glossinidius str. 'morsitans'	27631
NCBI	NZ_CP020840.1	pBK13043-3	Klebsiella pneumoniae strain BK13043	12157
NCBI	NC_005308.1	pFL7	Bacillus licheniformis	7967
NCBI	NZ_CP006904.1	pCBI	Clostridium botulinum 202F	40717
NCBI	NZ_CP015077.1	pEC448_1	Escherichia coli strain Ecol_448	135647
NCBI	NZ_CP010391.1	p6234-178.193kb	Klebsiella pneumoniae strain 6234	180740
NCBI	NZ_CP014885.1	pL11991-4	Lactobacillus backii strain TMW 1.1991	53291
NCBI	NC_004771.1	pJR1	Pasteurella multocida	6891
NCBI	NZ_CP019465.1	unnamed8	Streptomyces autolyticus strain CGMCC0516	15815
NCBI	NC_009796.1	pCCON16	Campylobacter concisus 13826	16694
NCBI	NZ_CP013230.1	UTSW55_4	Staphylococcus aureus strain UTSW MRSA 55	27005
NCBI	NZ_AP014818.1	pGM03	Geminocystis sp. NIES-3708	18162
NCBI	NZ_CP011046.1	pCI3	Clavibacter michiganensis subsp. insidiosus strain R1-1	104930
NCBI	NZ_CP020602.1	pJHX613	Pseudomonas aeruginosa strain E6130952	36976
NCBI	NZ_CP012710.1	4	Psychrobacter urativorans strain R10.10B	16455
NCBI	NC_025122.1	pM131-3	Acinetobacter sp. M131	9679
NCBI	NZ_CP023175.1	pLtBDGP2A	Lactobacillus plantarum strain BDGP2	62327
NCBI	NZ_CP017133.1	lp20-1	Borrelia miyamotoi strain CT13-2396	20778
NCBI	NC_017323.1	pSINMEB02	Sinorhizobium meliloti BL225C	1714747
NCBI	NC_019297.1	pHW120	Rahnella sp. WMR120	3744
NCBI	NZ_CP015212.1	a	Rhodobacter sphaeroides strain MBTLJ-13	155165
NCBI	NZ_CP017424.1	pZXY23	Arthrobacter sp. ZXY-2	66069
NCBI	NZ_CP011987.1	pUHKPC07-74.026kb	Klebsiella pneumoniae UHKPC07	75085
NCBI	NC_020949.1	pAms3	Chlamydia trachomatis L2b/Ams3	7609
NCBI	NC_015261.1	pHDC-RI	Tetragenococcus halophilus	21536
NCBI	NC_004334.1	pTX14-2	Bacillus thuringiensis 4Q2	6928
NCBI	NZ_CP012432.1	ISMMS_VRE_p1	Enterococcus faecium strain ISMMS_VRE_1	58367
NCBI	NC_019397.1	Unknown	Gluconobacter oxydans H24	216864
NCBI	NC_004942.1	pRV500	Lactobacillus sakei	13146
NCBI	NZ_CP015112.1	unnamed2	Acinetobacter sp. TGL-Y2	8808
NCBI	NZ_CP012644.1	1	Rufibacter tibetensis strain 1351	238803
NCBI	NZ_CP013122.1	unnamed1	Fusobacterium nucleatum subsp. polymorphum strain ChDC F306	14720
NCBI	NZ_FO818638.1	Unknown	Xenorhabdus bovienii str. CS03	179784
NCBI	NZ_CP017131.1	cp5	Borrelia miyamotoi strain CT13-2396	19783
NCBI	NC_021517.1	Lp16E	Lactobacillus plantarum 16	40722
NCBI	NC_017480.1	pHN2	Lactobacillus salivarius CECT 5713	20719
NCBI	NC_022197.1	pB1022	Proteus mirabilis strain BB1091	2499
NCBI	NZ_CP014312.1	unnamed5	Burkholderia sp. PAMC 26561	50260
NCBI	NZ_CP023361.1	p80	Escherichia coli strain 1943	81755
NCBI	NZ_CP009638.1	pBFI_4	Bacillus cereus 03BB108	62747
NCBI	NZ_CP006760.1	pMT	Yersinia pestis 1413	138976
NCBI	NC_017793.1	P6	Deinococcus gobiensis I-0	54193
NCBI	NZ_CP014535.1	pl6	Enterococcus faecium strain E745	66496
NCBI	NC_017814.1	clone	Borrelia crocidurae str. Achema	11350
NCBI	NZ_CP020338.1	unnamed2	Shigella flexneri 4c strain 1602	97001
NCBI	NC_005229.1	pSYSM	Synechocystis sp. PCC 6803	121609
NCBI	NC_017329.1	pSFxv_3	Shigella flexneri 2002017	6290
NCBI	NZ_CP013822.1	p1PS14	Piscirickettsia salmonis strain PM25344B	58373
NCBI	NZ_CP016445.1	unnamed1	Edwardsiella piscicida strain S11-285	3211
NCBI	NZ_CP013766.1	p4PS2	Piscirickettsia salmonis strain PM21567A	32624
NCBI	NC_019298.1	pHW121	Rahnella sp. WMR121	5274
NCBI	NZ_CP017059.1	unnamed2	Citrobacter freundii strain SL151	173681
NCBI	NZ_AUYZ01000012.1	p2_B2_433	Clostridium botulinum B2 433	11760
NCBI	NC_004160.1	pWKS1	Paracoccus pantotrophus	2737
NCBI	NC_015950.1	pRA0846	Riemerella anatipestifer	10451
NCBI	NZ_CP018424.1	pMNCRE69_4	Klebsiella pneumoniae strain MNCRE69	211201
NCBI	NC_010917.1	pW240	Ochrobactrum anthropi strain W24	4289
NCBI	NZ_CP011122.1	unnamed2	Acetobacter sp. SLV-7	117907
NCBI	NZ_ADFW01000008.1	pPLA1_10	Paenibacillus larvae subsp. larvae DSM 25719	9858
NCBI	NZ_CP014434.1	pUSA04-1-SUR20	Staphylococcus aureus strain USA300-SUR20	27467
NCBI	NZ_CP008847.1	pX01	Bacillus anthracis strain HYU01	184494
NCBI	NZ_CP018853.1	pLJ207-7.3	Xanthomonas citri subsp. citri strain LJ207-7	50089
NCBI	NC_020241.1	pHT8_1	Bacillus thuringiensis serovar kurstaki str. HD73	8636
NCBI	NC_009649.1	pKPN3	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	178393
NCBI	NZ_CM002807.1	pPA50	Planktothrix agardhii NIVA-CYA 126/8	51580
NCBI	NZ_CP015146.1	pIEC338SCOX	Acinetobacter pittii strain IEC338SC	10649
NCBI	NZ_CP021684.1	tig00008015	Escherichia coli strain AR_0162	86144
NCBI	NZ_CP018772.1	unnamed2	Escherichia coli strain 2016C-3936C1	55893
NCBI	NC_019220.1	pPHB194	Burkholderia pseudomallei	13676
NCBI	NZ_CP010093.1	pBMB71	Bacillus thuringiensis serovar galleriae strain HD-29	72394
NCBI	NZ_CP020888.1	unnamed3	Xanthomonas citri subsp. citri strain TX160149	49657
NCBI	NC_006663.1	pSERP	Staphylococcus epidermidis RP62A	27702
NCBI	NC_012508.1	29805_lp38	Borrelia burgdorferi 29805	39250
NCBI	NZ_CP020430.1	unnamed2	Streptococcus sp. FDAARGOS_192	20831
NCBI	NZ_CP010373.2	p6409-202.186kb	Escherichia coli strain 6409	196680
NCBI	NZ_ALAL01000013.1	pOIFC109-122	Acinetobacter baumannii OIFC109	124220
NCBI	NC_000937.1	pER35	Streptococcus thermophilus ST135	9669
NCBI	NZ_CP014436.1	pUSA01-1-SUR21	Staphylococcus aureus strain USA300-SUR21	3171
NCBI	NC_019983.1	pCFI-1	Citrobacter freundii strain Iona 2	23912
NCBI	NZ_CP022169.1	pWW012	Salmonella enterica subsp. enterica serovar Typhimurium strain WW012	153776
NCBI	NC_010158.1	pMT-pPCP	Yersinia pestis Angola	116208
NCBI	NZ_CP021064.1	poh3	Bacillus thuringiensis strain ATCC 10792	94278
NCBI	NZ_CP011928.1	pBCL1	Labrenzia sp. CP4	100029
NCBI	NC_019787.1	pMG2D-1	Mycoplasma capricolum subsp. capricolum strain Anses 11186	1697
NCBI	NZ_CM003618.1	pSAHUG_S5b	Staphylococcus aureus subsp. aureus strain MRSA_S5	3269
NCBI	NC_000948.1	cp32-1	Borrelia burgdorferi B31	31191
NCBI	NZ_CP017008.1	pPsa20586	Pseudomonas syringae pv. actinidiae strain NZ-45	77176
NCBI	NC_001994.1	pSK3	Staphylococcus aureus	1683
NCBI	NZ_CP013602.1	pRspN731a	Rhizobium sp. N731	164622
NCBI	NZ_CP011608.1	pKPC_CAV1321-45	Citrobacter freundii strain CAV1321	45488
NCBI	NZ_CP013493.1	pRspN6212c	Rhizobium sp. N6212	508237
NCBI	NC_022225.1	unnamed	Vibrio anguillarum M3	67111
NCBI	NZ_CP012493.1	pCFSAN004176G_02	Escherichia coli strain CFSAN004176	53046
NCBI	NZ_CP010073.1	pCj1	Campylobacter jejuni subsp. jejuni strain 01-1512	49572
NCBI	NC_015971.1	pGB2002	Streptococcus agalactiae strain GB2002	6924
NCBI	NC_018699.1	pKLC4	Leuconostoc carnosum JB16	37126
NCBI	NZ_CP014427.1	pUSA01-1-SUR18	Staphylococcus aureus strain USA300-SUR18	3171
NCBI	NZ_CP015862.1	LZ227p5	Lactobacillus plantarum strain LZ227	38759
NCBI	NZ_CP010024.1	pBIL	Paraburkholderia fungorum strain ATCC BAA-463	443465
NCBI	NZ_CP007730.1	pKpQIL-6e6	Klebsiella pneumoniae subsp. pneumoniae KPNIH10	115264
NCBI	NZ_CM007204.1	pACMP2	Streptomyces subrutilus strain 10-1-1	84025
NCBI	NZ_CP015307.1	CtrF-6068_plasmid	Chlamydia trachomatis strain F-6068	7602
NCBI	NZ_CP020941.1	pBCXO2	Bacillus cereus strain BC-AK	89889
NCBI	NZ_CM003750.1	pXF-P4.CVC0256	Xylella fastidiosa strain CVC0256	31307
NCBI	NZ_CP007733.1	pKPN-068	Klebsiella pneumoniae subsp. pneumoniae KPNIH27	81561
NCBI	NZ_CP019460.1	unnamed3	Streptomyces autolyticus strain CGMCC0516	31331
NCBI	NZ_CP023372.1	p109	Escherichia coli strain 1283	110769
NCBI	NZ_CP017135.1	lp23	Borrelia miyamotoi strain CT13-2396	23562
NCBI	NZ_CP016642.1	djl-10_2	Mycobacterium sp. djl-10	22017
NCBI	NZ_CM001019.1	pSCL4	Streptomyces clavuligerus ATCC 27064	1822792
NCBI	NZ_CP017302.1	pYLC3	Rhodococcus sp. YL-1	7726
NCBI	NC_019369.1	pYS1	Burkholderia cepacia	84175
NCBI	NZ_CP011054.1	unnamed2	Halomonas sp. KO116	208049
NCBI	NZ_CP009845.1	pYV	Yersinia enterocolitica strain 8081	70189
NCBI	NC_004720.1	pCpGP1	Chlamydophila caviae GPIC	8081
NCBI	NZ_CP021488.1	pPl313-1	Pediococcus acidilactici strain SRCM100313	75019
NCBI	NC_016618.1	AZOBR_p2	Azospirillum brasilense Sp245	925485
NCBI	NC_022227.1	Unknown	Staphylococcus aureus subsp. aureus CN1	3381
NCBI	NZ_CP009489.1	pPCP1	Yersinia pestis strain PBM19	9749
NCBI	NZ_CP018075.1	Unknown	Streptomyces venezuelae strain NRRL B-65442	160382
NCBI	NC_017400.1	N40_cp32-4	Borrelia burgdorferi N40	16144
NCBI	NC_019362.1	pSG53	Sulfitobacter guttiformis	53945
NCBI	NC_021875.1	pBBKW-1	Bifidobacterium kashiwanohense JCM 15439	7828
NCBI	NC_014912.1	p1B146	Corynebacterium tuberculostearicum strain B146	4277
NCBI	NZ_CP017243.1	pRsp8C3b	Rhizobium etli 8C-3	444643
NCBI	NZ_CP004364.1	pGX4	Komagataeibacter xylinus E25	88423
NCBI	NZ_CP015914.1	pSLy2	Escherichia coli strain 210205630	130880
NCBI	NZ_CM003749.1	pXF-P1.CVC0256	Xylella fastidiosa strain CVC0256	27498
NCBI	NC_009035.1	pSbal01	Shewanella baltica OS155	118433
NCBI	NZ_CP023188.1	pK518_NDM5	Klebsiella michiganensis strain K518	46807
NCBI	NC_012199.1	64b_lp54	Borrelia burgdorferi 64b	54025
NCBI	NZ_CP016891.1	unnamed2	Pantoea agglomerans strain C410P1	219206
NCBI	NZ_CP019002.1	pECAZ155_2	Escherichia coli strain Ecol_AZ155	114532
NCBI	NZ_CP020577.1	pSSA12_1	Acinetobacter baumannii strain SSA12	74312
NCBI	NZ_CP022184.1	pS68-3	Aeromonas salmonicida strain S68	12634
NCBI	NZ_CP019758.1	cp32-3	Borrelia burgdorferi strain B31_NRZ	30655
NCBI	NZ_CP013634.1	pRspN324d	Rhizobium sp. N324	511345
NCBI	NZ_CP013171.1	unnamed20	Lactobacillus plantarum strain MF1298	2495
NCBI	NC_021526.1	Lp16D	Lactobacillus plantarum 16	37628
NCBI	NC_010469.1	pLCK4	Leuconostoc citreum KM20	12359
NCBI	NZ_CP016917.1	pNCI001	Geobacillus thermoglucosidasius strain TM242	85125
NCBI	NC_019215.1	pUCLAb	Xylella fastidiosa	1313
NCBI	NZ_CP010418.1	pAcX50c	Azotobacter chroococcum NCIMB 8003	63681
NCBI	NZ_CP011429.1	pYU39_IncA/C	Salmonella enterica subsp. enterica strain YU39	158558
NCBI	NZ_CP009669.1	lp28-1	Borreliella burgdorferi strain B31	28559
NCBI	NZ_CP018691.1	pKp_Goe_473-4	Klebsiella pneumoniae strain Kp_Goe_149473	61880
NCBI	NZ_CP015175.1	pRIVM6519-2	Staphylococcus aureus strain RIVM6519	3131
NCBI	NC_017266.1	pMT	Yersinia pestis biovar Medievalis str. Harbin 35	100706
NCBI	NC_015382.1	bgla_1p	Burkholderia gladioli BSR3	280162
NCBI	NC_016903.1	pEKO1102	Escherichia coli KO11	5438
NCBI	NZ_CP008899.1	pENT-8a4	Enterobacter cloacae ECNIH3	258658
NCBI	NZ_CP017286.1	pKPGJ-3b	Klebsiella variicola strain GJ3	93550
NCBI	NC_010262.1	pKH16	Staphylococcus aureus	4507
NCBI	NC_009807.1	pTPqnrS-1a	Salmonella enterica subsp. enterica serovar Typhimurium	10211
NCBI	NC_012549.1	pLB925A02	Lactobacillus brevis	3576
NCBI	NZ_CP015735.1	unnamed3	Arthrobacter sp. U41	62125
NCBI	NZ_CP012421.1	pRAMAC18	Candidatus Rickettsia amblyommii strain Ac37	18305
NCBI	NC_002013.1	pC194	Staphylococcus aureus	2953
NCBI	NC_018684.1	pMC8	Bacillus thuringiensis MC28	7939
